key,total_ms,count,avg_ms,min_ms,max_ms
L18/lightning/rope/decode,0.350,8,0.043780,0.042368,0.045120
L18/lightning/rope/prefill,89.131,28,3.183267,0.022176,3.692192
L18/lightning/sigmoid_gate/decode,0.340,8,0.042448,0.039520,0.051040
L18/lightning/sigmoid_gate/prefill,143.500,28,5.125009,0.044768,6.114688
L19/lightning-attn/attn/decode,3.758,8,0.469740,0.445504,0.494528
L19/lightning-attn/attn/prefill,850.744,28,30.383717,0.530528,35.948833
L19/lightning-attn/input_norm/decode,0.033,8,0.004068,0.003840,0.004128
L19/lightning-attn/input_norm/prefill,8.744,28,0.312295,0.005856,0.364768
L19/lightning-attn/mlp/decode,0.791,8,0.098832,0.095424,0.102432
L19/lightning-attn/mlp/prefill,1621.156,28,57.898439,0.099808,69.335396
L19/lightning-attn/post_attn_norm/decode,0.260,8,0.032480,0.031040,0.033664
L19/lightning-attn/post_attn_norm/prefill,29.806,28,1.064488,0.008896,1.230688
L19/lightning/chunk_simple_gla/prefill,56.957,26,2.190651,0.146144,2.455904
L19/lightning/fla_kernel/decode,1.599,8,0.199892,0.192128,0.207712
L19/lightning/fla_kernel/prefill,59.961,28,2.141450,0.235232,2.555264
L19/lightning/fla_state_load/decode,0.245,8,0.030604,0.028960,0.033632
L19/lightning/fla_state_load/prefill,1.419,28,0.050696,0.021600,0.069952
L19/lightning/fla_state_save/decode,0.245,8,0.030572,0.029664,0.031840
L19/lightning/fla_state_save/prefill,0.509,28,0.018191,0.013568,0.037632
L19/lightning/fused_recurrent_gla/decode,0.807,8,0.100828,0.095040,0.107424
L19/lightning/fused_recurrent_gla/prefill,0.226,2,0.112832,0.107264,0.118400
L19/lightning/o_norm/decode,0.185,8,0.023136,0.022176,0.024640
L19/lightning/o_norm/prefill,8.341,28,0.297905,0.025760,0.349120
L19/lightning/o_proj/decode,0.247,8,0.030816,0.028032,0.032768
L19/lightning/o_proj/prefill,121.160,28,4.327134,0.032352,5.192160
L19/lightning/qk_norm/decode,0.263,8,0.032880,0.025760,0.039168
L19/lightning/qk_norm/prefill,69.650,28,2.487513,0.025888,2.906272
L19/lightning/qkv_proj/decode,0.310,8,0.038724,0.035744,0.044576
L19/lightning/qkv_proj/prefill,359.993,28,12.856899,0.039776,15.471488
L19/lightning/rope/decode,0.334,8,0.041724,0.040384,0.043456
L19/lightning/rope/prefill,89.048,28,3.180274,0.022176,3.688064
L19/lightning/sigmoid_gate/decode,0.318,8,0.039712,0.037888,0.043072
L19/lightning/sigmoid_gate/prefill,142.326,28,5.083065,0.042816,6.048832
L20/lightning-attn/attn/decode,3.740,8,0.467524,0.445184,0.494304
L20/lightning-attn/attn/prefill,857.672,28,30.631149,0.534400,36.174271
L20/lightning-attn/input_norm/decode,0.031,8,0.003936,0.003328,0.004096
L20/lightning-attn/input_norm/prefill,8.731,28,0.311816,0.003264,0.363520
L20/lightning-attn/mlp/decode,0.793,8,0.099108,0.096640,0.102816
L20/lightning-attn/mlp/prefill,1624.643,28,58.022959,0.099808,68.948288
L20/lightning-attn/post_attn_norm/decode,0.258,8,0.032284,0.031232,0.033504
L20/lightning-attn/post_attn_norm/prefill,29.843,28,1.065822,0.008928,1.233696
L20/lightning/chunk_simple_gla/prefill,58.724,26,2.258620,0.148256,2.807232
L20/lightning/fla_kernel/decode,1.591,8,0.198936,0.184768,0.225888
L20/lightning/fla_kernel/prefill,61.923,28,2.211533,0.242816,2.908544
L20/lightning/fla_state_load/decode,0.237,8,0.029632,0.027872,0.032128
L20/lightning/fla_state_load/prefill,1.362,28,0.048647,0.025440,0.066784
L20/lightning/fla_state_save/decode,0.242,8,0.030296,0.028928,0.032480
L20/lightning/fla_state_save/prefill,0.560,28,0.019997,0.013376,0.086208
L20/lightning/fused_recurrent_gla/decode,0.813,8,0.101680,0.090976,0.127840
L20/lightning/fused_recurrent_gla/prefill,0.399,2,0.199488,0.113888,0.285088
L20/lightning/o_norm/decode,0.183,8,0.022852,0.021856,0.023936
L20/lightning/o_norm/prefill,8.351,28,0.298267,0.025312,0.346272
L20/lightning/o_proj/decode,0.240,8,0.030044,0.028672,0.032320
L20/lightning/o_proj/prefill,122.314,28,4.368359,0.031424,5.304928
L20/lightning/qk_norm/decode,0.277,8,0.034568,0.026400,0.038816
L20/lightning/qk_norm/prefill,69.713,28,2.489749,0.025536,2.903328
L20/lightning/qkv_proj/decode,0.301,8,0.037656,0.035680,0.040160
L20/lightning/qkv_proj/prefill,362.861,28,12.959310,0.039648,15.345312
L20/lightning/rope/decode,0.342,8,0.042788,0.040480,0.046688
L20/lightning/rope/prefill,89.054,28,3.180499,0.022144,3.679936
L20/lightning/sigmoid_gate/decode,0.320,8,0.040020,0.037888,0.042496
L20/lightning/sigmoid_gate/prefill,143.131,28,5.111817,0.034112,6.026752
L21/lightning-attn/attn/decode,3.706,8,0.463256,0.444032,0.488544
L21/lightning-attn/attn/prefill,855.182,28,30.542197,0.556768,36.147457
L21/lightning-attn/input_norm/decode,0.033,8,0.004068,0.003840,0.004128
L21/lightning-attn/input_norm/prefill,8.756,28,0.312699,0.004096,0.364544
L21/lightning-attn/mlp/decode,0.799,8,0.099916,0.095840,0.104384
L21/lightning-attn/mlp/prefill,1626.382,28,58.085077,0.099936,69.148705
